experiment_id,model,domain,metric,best_score,best_iteration,run_completed,symfluence_version,code_commit,collected_at
cal_ensemble_fuse_abc@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8705254329,3,2026-07-19T13:51:25Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_basin_hopping@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8483252148,17,2026-07-19T14:08:40Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_bayesian_opt@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.835566928,43,2026-07-19T14:23:39Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_cmaes@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9084271382,45,2026-07-19T14:38:04Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_dds@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.909638056,762,2026-07-19T14:55:33Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_de@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9084878086,50,2026-07-19T15:08:09Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_dream@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.872713008,2,2026-07-19T15:30:10Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_ga@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8872084189,50,2026-07-19T16:00:17Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_glue@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8514687723,7,2026-07-19T16:33:52Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_nelder_mead@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8950900937,985,2026-07-19T17:09:03Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_nsga2@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9074467501,20,2026-07-19T17:29:02Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_pso@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9103204608,49,2026-07-19T17:49:28Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_sa@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8919300632,41,2026-07-19T18:07:18Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
cal_ensemble_fuse_sceua@FUSE,FUSE,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8908180233,5,2026-07-19T18:22:42Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
forcing_ensemble_aorc@SUMMA,SUMMA,domain_paradise_snotel_wa,RMSE,-386.3030513,880,2026-07-19T19:49:57Z,0.9.2,4c0c2d04,2026-07-20T20:30:50Z
forcing_ensemble_conus404@SUMMA,SUMMA,domain_paradise_snotel_wa,RMSE,-306.1649133,618,2026-07-19T22:25:23Z,0.9.2,4c0c2d04,2026-07-20T20:30:50Z
forcing_ensemble_rdrs@SUMMA,SUMMA,domain_paradise_snotel_wa,RMSE,-211.9137474,466,2026-07-20T18:24:17Z,0.9.2,4c0c2d04,2026-07-20T20:30:50Z
run_1@CRHM,CRHM,domain_Bow_at_Banff_lumped_era5,KGE,0.9293502046,993,2026-07-20T20:22:22Z,0.9.2,4c0c2d04,2026-07-20T20:30:49Z
run_1@FUSE,FUSE,domain_Bow_at_Banff_lumped_era5,KGE,0.9402980047,4318,2026-07-20T20:34:15Z,0.9.2,1cc4bf75,2026-07-20T20:39:40Z
